=== references to DAT_18492b850 (write = assignment of the enumerator) ===
  READ from 0x180ad55a6  in FUN_180ad549c @ 0x180ad549c
  READ from 0x180fcac4f  in FUN_180fcab68 @ 0x180fcab68
  READ from 0x180fcaf3d  in FUN_180fcab68 @ 0x180fcab68
  READ from 0x180fcaf64  in FUN_180fcab68 @ 0x180fcab68
  READ from 0x180fcb0e5  in FUN_180fcb010 @ 0x180fcb010
  READ from 0x180fcb427  in FUN_180fcb010 @ 0x180fcb010
  READ from 0x180fcb44e  in FUN_180fcb010 @ 0x180fcb010
  READ from 0x1839b6531  in FUN_1839b63c8 @ 0x1839b63c8
  READ from 0x1839b6ebf  in FUN_1839b6d94 @ 0x1839b6d94
  READ from 0x18041d4bb  in FUN_18041d3f4 @ 0x18041d3f4
  READ from 0x18041d2b2  in FUN_18041d238 @ 0x18041d238
  READ from 0x180605fbc  in FUN_180605f8c @ 0x180605f8c
  READ from 0x18089687c  in FUN_180896798 @ 0x180896798
  READ from 0x1808968c4  in FUN_180896798 @ 0x180896798
  READ from 0x1804603ec  in FUN_180460364 @ 0x180460364
  READ from 0x180fa9ca4  in FUN_180fa9c78 @ 0x180fa9c78
  READ from 0x18041c80d  in FUN_18041c7e0 @ 0x18041c7e0
  READ from 0x1806a16c8  in FUN_1806a15a0 @ 0x1806a15a0
  READ from 0x1806a171a  in FUN_1806a15a0 @ 0x1806a15a0
  READ from 0x1806a17fb  in FUN_1806a15a0 @ 0x1806a15a0
  READ from 0x1806a1814  in FUN_1806a15a0 @ 0x1806a15a0
  READ from 0x1806a188c  in FUN_1806a15a0 @ 0x1806a15a0
  READ from 0x1806a18af  in FUN_1806a15a0 @ 0x1806a15a0
  READ from 0x1806a1991  in FUN_1806a15a0 @ 0x1806a15a0
  READ from 0x1824f29b3  in FUN_1824f2960 @ 0x1824f2960
  READ from 0x1824f29d9  in FUN_1824f2960 @ 0x1824f2960
  READ from 0x1824f2a03  in FUN_1824f2960 @ 0x1824f2960
  READ from 0x1814d55cb  in FUN_1814d5580 @ 0x1814d5580
  READ from 0x183498256  in FUN_18349818c @ 0x18349818c
  READ from 0x1834983a6  in FUN_18349818c @ 0x18349818c
  READ from 0x183498369  in FUN_18349818c @ 0x18349818c
  READ from 0x1834984cd  in FUN_18349818c @ 0x18349818c
  READ from 0x183498569  in FUN_18349818c @ 0x18349818c
  READ from 0x183498579  in FUN_18349818c @ 0x18349818c
  READ from 0x183499d79  in FUN_183499c8c @ 0x183499c8c
  READ from 0x183499e40  in FUN_183499c8c @ 0x183499c8c
  READ from 0x183499e50  in FUN_183499c8c @ 0x183499c8c
  READ from 0x1806ec877  in FUN_1806ec86c @ 0x1806ec86c
  READ from 0x18045f6ac  in FUN_18045f43c @ 0x18045f43c
  READ from 0x1804607a5  in FUN_180460788 @ 0x180460788
  READ from 0x1819c9cbb  in FUN_1819c9cb4 @ 0x1819c9cb4
  READ from 0x180463a47  in FUN_180463a24 @ 0x180463a24
  READ from 0x180464821  in FUN_1804647fc @ 0x1804647fc
  READ from 0x18048823a  in FUN_1804881d0 @ 0x1804881d0
  READ from 0x180488254  in FUN_1804881d0 @ 0x1804881d0
  READ from 0x18048900f  in FUN_180488ff4 @ 0x180488ff4
  READ from 0x1807b54e6  in FUN_1807b54b4 @ 0x1807b54b4
  READ from 0x1807b5516  in FUN_1807b54b4 @ 0x1807b54b4
  READ from 0x1807b5d8b  in FUN_1807b5d58 @ 0x1807b5d58
  READ from 0x1807b5e39  in FUN_1807b5d58 @ 0x1807b5d58
  READ from 0x1807b5ef5  in FUN_1807b5ed4 @ 0x1807b5ed4
  READ from 0x18048c948  in FUN_18048c930 @ 0x18048c930
  READ from 0x18051cbcc  in FUN_18051cba0 @ 0x18051cba0
  READ from 0x18051cbfc  in FUN_18051cba0 @ 0x18051cba0
  READ from 0x18051ccb3  in FUN_18051cba0 @ 0x18051cba0
  READ from 0x1809807f2  in FUN_180980764 @ 0x180980764
  READ from 0x180496035  in FUN_180495ff0 @ 0x180495ff0
  READ from 0x180496271  in FUN_1804961fc @ 0x1804961fc
  READ from 0x1804962fc  in FUN_1804961fc @ 0x1804961fc
  READ from 0x180496382  in FUN_180496350 @ 0x180496350
  READ from 0x1804963b2  in FUN_180496350 @ 0x180496350
  READ from 0x1804965e4  in FUN_180496350 @ 0x180496350
  READ from 0x1804966e0  in FUN_180496350 @ 0x180496350
  READ from 0x180496797  in FUN_180496350 @ 0x180496350
  READ from 0x180496868  in FUN_18049685c @ 0x18049685c
  READ from 0x1804d41e4  in FUN_1804d4198 @ 0x1804d4198
  READ from 0x1804d4272  in FUN_1804d4198 @ 0x1804d4198
  READ from 0x1804d3199  in FUN_1804d30c4 @ 0x1804d30c4
  READ from 0x1807ab988  in FUN_1807ab960 @ 0x1807ab960
  READ from 0x1807ab9ff  in FUN_1807ab960 @ 0x1807ab960
  READ from 0x1807aba7d  in FUN_1807ab960 @ 0x1807ab960
  READ from 0x1807b9b90  in FUN_1807b90e8 @ 0x1807b90e8
  READ from 0x1807b6900  in FUN_1807b6850 @ 0x1807b6850
  READ from 0x1807b5c0f  in FUN_1807b5bac @ 0x1807b5bac
  READ from 0x180da2584  in FUN_180da255c @ 0x180da255c
  READ from 0x1806ba6c9  in FUN_1806ba6c0 @ 0x1806ba6c0
  READ from 0x1804d436f  in FUN_1804d4358 @ 0x1804d4358
  READ from 0x1804d43bc  in FUN_1804d4358 @ 0x1804d4358
