module,game_version,rva,length,auto_name,function_name,namespace,content_hash,signature,signature_source,decompile_quality,edge_reason
WHGame.dll,release_1_5_1164953_841,0x200390,2020,FUN_180200390,,,171735275b41c8719b31d0248f91397cea290f71600a0f86deb38cee3e11b7da,undefined FUN_180200390(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x200b80,1981,FUN_180200b80,,,024256bf2d7451012593b330c476265cc6e314e6de7308a21789d045295fc976,undefined FUN_180200b80(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x201340,2567,FUN_180201340,,,c98474938099ba44c39cec8a9769deef8e2b802d9290b7c41b93b1d3c938a0d7,undefined FUN_180201340(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x201d50,2020,FUN_180201d50,,,7191c348463b4976bb6ff4a323c3a0211d5a83c31df764b063b5e37cc4ade48b,undefined FUN_180201d50(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x202540,1588,FUN_180202540,,,2fd9f269b670a68861ecbeed5f00faef4447ab0c3778349d7cd5ec6429e93729,undefined FUN_180202540(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x202b80,2574,FUN_180202b80,,,658103f92184793742efec6786a13d0d197b5a729410d8d5589266d787960ea5,undefined FUN_180202b80(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x203590,1588,FUN_180203590,,,7d346a396c9023743c875250cb668c2b8dbd14979c9f0c871d883cded3ae131d,undefined FUN_180203590(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x203bd0,1981,FUN_180203bd0,,,931d42db1f065e23b62cb60c66be2291e8161560726747407bf1e0758daabc6f,undefined FUN_180203bd0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x204390,2972,FUN_180204390,,,39ee2ec5f879b5f0fedd81bc6ff601516e99a83c98e1e8dee89dec049c0e42c4,undefined FUN_180204390(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x204f30,2574,FUN_180204f30,,,afc9643ae164042e33b01cbff148280a4c235707ca47af58a88597624d2fa169,undefined FUN_180204f30(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x205940,2567,FUN_180205940,,,205a86a2bb36980504932975f8a861e55e573b725bbc8eff283057ef8f6ad82c,undefined FUN_180205940(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x206350,1576,FUN_180206350,,,8f5c7bea6e6bfffa74850ce14537b03d8b1baa211608fa3a216bae796dc3326b,undefined FUN_180206350(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x206980,2567,FUN_180206980,,,eaea58898be711f11269939a4aaab52e694983d58fef5e3c83c8c311b2af5f51,undefined FUN_180206980(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x207390,2020,FUN_180207390,,,5c8a19f637c5fc5eebfcebb4317cdb8dd8f24a1d32edb2be2e8f05bc752dc6c1,undefined FUN_180207390(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x207b80,2001,FUN_180207b80,,,f05677583599ffdc4375d2a7e0d397c2c211e2d163c1588540c0d3a5808f2e6f,undefined FUN_180207b80(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208360,1471,FUN_180208360,,,e047c9cec7fbaf86b5f7b3030f8826b09a5d76c47077605ae88c919f3a5e2c22,undefined FUN_180208360(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208920,261,FUN_180208920,,,79b6a9ee4a741930dd24459774777bf74af3e1007dd91a3733d77d2379eaff3e,undefined FUN_180208920(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208a30,198,FUN_180208a30,,,829ff623249196f10dfde0297050f332eaefff59a5b756a115ed64d1c79c3677,undefined FUN_180208a30(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208b00,39,FUN_180208b00,,,d5004e5eba74884bf7eb5eea0095ee0c848ddd240f22c9c5648eaf85b01bd2c9,undefined FUN_180208b00(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208b30,39,FUN_180208b30,,,c2a35b613f21da2b1339cf1ffcb17183837342f450fab06eb40f0c1e9253d0dd,undefined FUN_180208b30(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208b60,39,FUN_180208b60,,,b8c5eaf0ab8f968aa8a84c60bd3cc0dc3241a206906b5da0beeeb31b6898ff81,undefined FUN_180208b60(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208b90,39,FUN_180208b90,,,3262be879eb3e726d16ee2b08a7e6dbceec64fecadc6850d2c9b7bd452b97eec,undefined FUN_180208b90(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208bc0,39,FUN_180208bc0,,,fa1fda61c30619341ee4b0e4841d427324ea797bc6723604cca2ef15f61babfe,undefined FUN_180208bc0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208bf0,114,FUN_180208bf0,,,df4f72c19c9053ad16ea1e054d1ec71cb567fb62675a0705f8b8147362aff6df,undefined FUN_180208bf0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208c70,643,FUN_180208c70,,,2381c36f294d0a67e1090fc569e96aff4842afad6803b8d836b88a3f696e83c6,undefined FUN_180208c70(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208f20,39,FUN_180208f20,,,a9e61135b3c63f51ccd88147fcca109659f76be8df82c64e8c8d87a6af1f15c7,undefined FUN_180208f20(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208f50,39,FUN_180208f50,,,4051d3d5ac179968e9cccb175f0666fcf86e45c6cb1dce0b20a16066bd7635ad,undefined FUN_180208f50(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208f80,39,FUN_180208f80,,,cc27237d02dd3957736bff3823e6a1191f77f902287557d87ec318a16d5b7292,undefined FUN_180208f80(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208fb0,39,FUN_180208fb0,,,17a49faa8af8786d35aec857ca1f8b154166269eb67b4e10ed6bece61fc5d245,undefined FUN_180208fb0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x208fe0,39,FUN_180208fe0,,,63f74c027dd8693d7cd33acca33c3b178619b1418c42af9aba002d72ca63ec83,undefined FUN_180208fe0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x209020,39,FUN_180209020,,,570cb9ee0fb85c6104283271c793d48d362577a38501c69fecf6e510695fda18,undefined FUN_180209020(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x209050,39,FUN_180209050,,,2635e0487455e83daeed0bf270efbfe05875fbf305d72b60283da2be7614e4b9,undefined FUN_180209050(),ghidra,clean,
