module,game_version,rva,length,auto_name,function_name,namespace,content_hash,signature,signature_source,decompile_quality,edge_reason
WHGame.dll,release_1_5_1164953_841,0xb00318,134,FUN_180b00318,,,36b6b8b349bcf5cfa0c64797e091a53e58406e9f373894b0cbf514dcb8336e23,undefined FUN_180b00318(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb0037c,132,FUN_180b0037c,,,40e6b77216243d41ba64b0d35634df8e6d8b9f34fa1a390b86ccf660793019c4,undefined FUN_180b0037c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb00400,86,FUN_180b00400,,,9a28c58472f4860cbdcd332026a02e6e0a85731948945c8e36968864707a619d,undefined FUN_180b00400(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb0042c,89,FUN_180b0042c,,,4616a64eb15418b541b02f477cd1db8aa430af43fca6d156f7d7f5493d439580,undefined FUN_180b0042c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb00488,624,FUN_180b00488,,,549cf9d8a79b08fa20e620cb24b6b5d18af31842762204d74020f388a0665495,undefined FUN_180b00488(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb006f8,183,FUN_180b006f8,,,75d21ef8b1e3ad1eefdcd4ed8485ef2fbea88637b33a60c494b2135cc7036be1,undefined FUN_180b006f8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb007b0,429,FUN_180b007b0,,,54c1ede6684ba4c51f47f16775cecf704ee1abeefe48e2ba176592a28ca376b4,undefined FUN_180b007b0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb008dc,314,FUN_180b008dc,,,eff7a2d13658feb02437317c7fd00d0224572868d1b72697df24283e76634ebb,undefined FUN_180b008dc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb00a18,206,FUN_180b00a18,,,6e6d3a7cc0e26a3a69df6a2536107730b6e6064d0379a5d5cb61da47a1bd9a97,undefined FUN_180b00a18(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb00ae8,865,FUN_180b00ae8,,,fa8568b986a2984e108c6f0f7b8eaec70b2f32b8ae87dd27cc519cb84a46257d,undefined FUN_180b00ae8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb00e4c,160,FUN_180b00e4c,,,955d8cce354075cd38e6e40aecebfb6bc511a60e2b8b5fe05aa8a620e0abfb95,undefined FUN_180b00e4c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb00eec,100,FUN_180b00eec,,,c1a797a39ffca34252718de752df7e81f80c7acb60b68ba64d931218354e06df,undefined FUN_180b00eec(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb00f50,390,FUN_180b00f50,,,9ff61ab9168b3e5f7bc70fc49fc9d78ba003c7d3045ed9f85903f5031e648dff,undefined FUN_180b00f50(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb010d8,62,FUN_180b010d8,,,fc3593a92905f847ef0a75c8fa358df04f1ab7cb975679811c7193649d1d84a6,undefined FUN_180b010d8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb01118,118,FUN_180b01118,,,b6943728fdb502cce1a07963847188862749b11a8a510d7bd98ddcb71ae5c9ce,undefined FUN_180b01118(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb01190,122,FUN_180b01190,,,036fb46b8e838ef2b02216e26986431155ef3e6326633bafd20590e16f787e99,undefined FUN_180b01190(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb0120c,130,FUN_180b0120c,,,5decd76fc9c7d19e489293bd82ec9ce50c0f30ead42a502bbe84981d07c6ca8d,undefined FUN_180b0120c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb01290,189,FUN_180b01290,,,1f869d1f9cf694dc231930f5e6b410e3cb5c0c3b124f3d4b4569d59de7f85e91,undefined FUN_180b01290(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb01344,163,FUN_180b01344,,,80281385e3de8bfe2b2415d7e77982883228288544222a4d576bc99d8c41a03e,undefined FUN_180b01344(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb013f0,192,FUN_180b013f0,,,2da4165d3f5670321e940501301cc6967c300d9afce952503884942838676c5a,undefined FUN_180b013f0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb014b0,384,FUN_180b014b0,,,13dac59934500fbe97d466490e46bc3d108b69ea573770728b5be2cf1bff2440,undefined FUN_180b014b0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb01630,183,FUN_180b01630,,,4af31ff4177a77f1217b8aef104086f6ad6bf8f1fe05ec02491556b489bbdea5,undefined FUN_180b01630(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb016e8,373,FUN_180b016e8,,,40ac11d7c04c10b9566fda257bc61974bacc6fef48b49479b7c55505ac08888c,undefined FUN_180b016e8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb01860,155,FUN_180b01860,,,9ccb233bd90a153ff445780b1729d90061c7f496cf29b959201c1e791bd628e6,undefined FUN_180b01860(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb018fc,93,FUN_180b018fc,,,d2d9e70b345241e3777e81fe67165273441c18d5da5607a56ee8857a548f4095,undefined FUN_180b018fc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb0195c,484,FUN_180b0195c,,,ad94668997777f2ccac700975ab2c090d2eb2241ec73a83d95f4c5710104b510,undefined FUN_180b0195c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb01b40,407,FUN_180b01b40,,,64cbef686e3ceaaae5ae199881fa9ff3a5b870002ba58427df0d7dff9a9d49a9,undefined FUN_180b01b40(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb01cd8,529,FUN_180b01cd8,,,42fef111007e8057989631e9d50146ff23585da7efdf313e7af253519342901a,undefined FUN_180b01cd8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xb01d7c,404,FUN_180b01d7c,,,22516adddfdc7b5ab92b30a422fc0d493f5ae175e1839c2bb2e4fa1e986d2ff0,undefined FUN_180b01d7c(),ghidra,clean,
