module,game_version,rva,length,auto_name,function_name,namespace,content_hash,signature,signature_source,decompile_quality,edge_reason
WHGame.dll,release_1_5_1164953_841,0xc00950,133,FUN_180c00950,,,64fa23d64585094ad78aea1122b6e2dbfc267de2715be2415fa5bb39d4a32266,undefined FUN_180c00950(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xc009d8,270,FUN_180c009d8,,,575118b93ff0d6071dd4d39116ac7cea08e553d296ae2d34da8e7e0d642b74b3,undefined FUN_180c009d8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xc00ae8,99,FUN_180c00ae8,,,4926a2b136b6d9eaabf4813e8b5655ddedc23df417094e4a929c969cf609e3b6,undefined FUN_180c00ae8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xc00b4c,39,FUN_180c00b4c,,,f4fe4b933f52f2a3fa47e6e43b1c291d8495e51b182283a8d646499f70d4ec01,undefined FUN_180c00b4c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xc00b74,43,FUN_180c00b74,,,f280befb4dceddc48c149b97ca25fad857befb1642fd2554cc2a9224996559c7,undefined FUN_180c00b74(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xc00ba0,357,FUN_180c00ba0,,,879202f4e3ff8a91b56ec1cabca0c440ee91f5fbeb6f8faa4d79168839046b07,undefined FUN_180c00ba0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xc00d08,52,FUN_180c00d08,,,fa451a33019f83e1c07d2fbee0ad33a7e29b8690444d62ed35d263de680d0762,undefined FUN_180c00d08(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xc00d3c,62,FUN_180c00d3c,,,55446600f0a3535a7475b179f3acc6e641587499a1964bd86dc52c41874e4c58,undefined FUN_180c00d3c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xc00d68,107,FUN_180c00d68,,,ff8e4b9dfec65495d6a7a883e234142d1a0dd1c1f4bb4e4f147ec6371e304870,undefined FUN_180c00d68(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xc00dd4,594,FUN_180c00dd4,,,7d77268c9ec26642dddb313de796b99d3ad9fd5df0052a8579773b2ed17e8560,undefined FUN_180c00dd4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xc01028,197,FUN_180c01028,,,220b668c593d411d7253d5662698f45754674739797d17d1435ab3667afd98f4,undefined FUN_180c01028(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xc010f0,197,FUN_180c010f0,,,c5369bf4a9c426bc7220c9ec1d0d304b9fe3ddbe3b32fd0d8bd2f0e9445cc79c,undefined FUN_180c010f0(),ghidra,clean,
