module,game_version,rva,length,auto_name,function_name,namespace,content_hash,signature,signature_source,decompile_quality,edge_reason
WHGame.dll,release_1_5_1164953_841,0xd0018c,292,FUN_180d0018c,,,6d6a37a5477a3e97edea77fee18d4fab81cb1e77ce53d8ffcf30c6077c15b283,undefined FUN_180d0018c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd002b0,141,FUN_180d002b0,,,5253c7ddf965c02da3d2d89fe808cb6e14be1e883337be5c06d856732b57848d,undefined FUN_180d002b0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd0030c,107,FUN_180d0030c,,,239c4016778c5e1e3820ac5954783113dc7b0044d750c1e3e8b5b8866b3183b8,undefined FUN_180d0030c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00378,136,FUN_180d00378,,,57a6503fa1fcbee51bb0cf0cb6df6d05079fc222db1e412c3d6a685f0c3cd3a2,undefined FUN_180d00378(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd003e4,313,FUN_180d003e4,,,18043c098bca647d6effb42a313d3b62a7743041d3541158871879cc18dfbb18,undefined FUN_180d003e4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd004b0,67,FUN_180d004b0,,,326aeeb338b89e10c62e34789f82f721c43dafaf744302be921a10864490ad62,undefined FUN_180d004b0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd004f4,172,FUN_180d004f4,,,1be82fb1f2c28b3551953c8d0a2cbc9638d3560c384eebed2d59b4a7feb2dd2b,undefined FUN_180d004f4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd005a0,348,FUN_180d005a0,,,0b0fad04e139b172960be776bed2e890ace77d2e0e0b4cdeb8a33a09c739b8f6,undefined FUN_180d005a0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00674,69,FUN_180d00674,,,79e3b63f23a493d5fa10a5d2649ee4be7a4c043840d2d10cbde323d3492a86de,undefined FUN_180d00674(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd006bc,175,FUN_180d006bc,,,65832d76b65f3677149067a063266f342fa1396cc260b1f04fa5fa539ec97db3,undefined FUN_180d006bc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd0076c,32,FUN_180d0076c,,,269c5db2ad978fe6255ccf688dda8410845b0d436471f73d746c19ee83cad322,undefined FUN_180d0076c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd0078c,246,FUN_180d0078c,,,7a3fe0c16807bdc080638c10bba85cff147d568cd33fb247b778689f3463941d,undefined FUN_180d0078c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00834,331,FUN_180d00834,,,53d625a962941f7c0f88b649d46a47fc23f047b21a64438f6cff321d3bb87332,undefined FUN_180d00834(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00900,175,FUN_180d00900,,,7847a497f50e80415f2dcfc619918b1e8233306df41a8bf0ff491b9dd7c9ee3e,undefined FUN_180d00900(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd009b0,348,FUN_180d009b0,,,dde8e7feaae48a1fd1a4ad54a4955cbb1dd95f300414f312130c1b00e6e02db2,undefined FUN_180d009b0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00a84,175,FUN_180d00a84,,,6ef6291123c2a2074f32fc44bc7a3fd2d15808985fe9cba0f83d7306190bc1e1,undefined FUN_180d00a84(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00b34,32,FUN_180d00b34,,,b0a47be29cf4f8c6d13d197681a1163cde799093b25a588e1f261981ce7bee88,undefined FUN_180d00b34(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00b54,92,FUN_180d00b54,,,17f183fd9dd99fb462348aaf97045af7413c3b6fa4f57eeb219088b8f0ce7a75,undefined FUN_180d00b54(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00bb0,99,FUN_180d00bb0,,,c7561eed97e338a253dcac29bd2ba564f8c1c0c2204fe4d04b1ba5928b1c9136,undefined FUN_180d00bb0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00c00,26,FUN_180d00c00,,,504d0b1eb371c1b3595812d25b45ab869a654853fcf34dd1076ee1ee935af81f,undefined FUN_180d00c00(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00c1c,228,FUN_180d00c1c,,,a8222b14d581a2ccfbc1ad72c93ec33eeb57f886a1c58d7b5a57b5054d511843,undefined FUN_180d00c1c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00d00,414,FUN_180d00d00,,,a51253d4a49cb3520583c211cdbbbc2b80aa3a07ef2fa090b52be356d6babdd4,undefined FUN_180d00d00(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00e7c,316,FUN_180d00e7c,,,95dd6e2fb8b90f6c2976289d3040e032ed1d4fa2d9e8f902f34f744477c62337,undefined FUN_180d00e7c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd00f7c,980,FUN_180d00f7c,,,799bee4f1da8f63a0039f0e0892717819828b5181bdfe9f0925ef5d202bfa5d2,undefined FUN_180d00f7c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd01350,739,FUN_180d01350,,,81e08ecb1a7bb3ede95af5db14e76cd33d80adc5d21265252ae7d1b4dbda49da,undefined FUN_180d01350(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd01640,53,FUN_180d01640,,,f5bf717a0d7caed61b11be096eb5806b64735e2b4bc4cdaccee7727646275e82,undefined FUN_180d01640(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd01678,1725,FUN_180d01678,,,459298c14a6293e25fbcb213890210b6cbcb13ac3e45ed12777be96d592b1e80,undefined FUN_180d01678(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd01d38,315,FUN_180d01d38,,,91d93aac489d046f50419ddaa64fb59aa0c9900d9f843abbd84aff11ceec5c3d,undefined FUN_180d01d38(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd01e74,83,FUN_180d01e74,,,ebfccfddeb747a87a9c7f5b4fa00a5ec9868d935627282d2cbd1912829b8670b,undefined FUN_180d01e74(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd01ec8,114,FUN_180d01ec8,,,ffd03ff83d446ad24c6fd2b24640fe5526b9871ebafa59ded2aae13e39522c90,undefined FUN_180d01ec8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd01f3c,174,FUN_180d01f3c,,,3f5613357c73ab3b28f5d3aa66ec2dd7593250ee050a1e6866d8504efedd8cfb,undefined FUN_180d01f3c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd01fd8,284,FUN_180d01fd8,,,e6bcae75460ea6bcae25a1873507dd37e63ecfe6ea2275708781c8c23257f4d8,undefined FUN_180d01fd8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd020f4,261,FUN_180d020f4,,,5c350d25bff99bccc5899b4c9b1e6f2e5a769cec8cf904bee8b58b023e392ce5,undefined FUN_180d020f4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd021cc,92,FUN_180d021cc,,,16d0dbef11745556e73eb035f9fd43470425c2a7c3b98252859515994fcd5b83,undefined FUN_180d021cc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd02228,296,FUN_180d02228,,,f68a5b57fa3e27d451f3375dc51e6753981d9dbfe1fbb8ad4862f5af9be0614e,undefined FUN_180d02228(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd02350,87,FUN_180d02350,,,9e0c702386085622959b541ba187a406f7485232ce3a9bf5f917b354ac27e882,undefined FUN_180d02350(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd023a8,87,FUN_180d023a8,,,767f072e738fa2b0c903c32b957055d905b8ccfa1058bbbc00e23fadb1fcdc82,undefined FUN_180d023a8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd02400,87,FUN_180d02400,,,3b7bbb2dcc1f045b795f3e4604c1af1c88c603336085297a51754b52f68a66fd,undefined FUN_180d02400(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd02458,63,FUN_180d02458,,,0c9b81d5e663cf7a885b6cb418ab566371e29272e415d8a287ea034995d0a82c,undefined FUN_180d02458(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xd02498,234,FUN_180d02498,,,c30f48232604a381a111c31c0e3736b7ffdbdad0adbae36af72290700da72e03,undefined FUN_180d02498(),ghidra,clean,
