module,game_version,rva,length,auto_name,function_name,namespace,content_hash,signature,signature_source,decompile_quality,edge_reason
WHGame.dll,release_1_5_1164953_841,0xe000e8,194,FUN_180e000e8,,,81306c48c48477a9df21d455aadc7c9ab4848bcb0f9d05d05b94b7b213c0548d,undefined FUN_180e000e8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe001ac,155,FUN_180e001ac,,,03b53c259c2d5ca9586c08a7c477c2a484f89f6ccd667ea33eb0b895889b679b,undefined FUN_180e001ac(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00248,190,FUN_180e00248,,,329c67e322e79eb9cde9c28659a2f61ef8a772392d59ea97f1849f0c88582341,undefined FUN_180e00248(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00308,190,FUN_180e00308,,,ccf44c333d1c647f20358b2e1e556ce153bae743a07ee1213839d9ee04be095e,undefined FUN_180e00308(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe003c8,190,FUN_180e003c8,,,2815c6c41e950430f9bef1c67277cf256148bc16157c9f0b66cea6e861741697,undefined FUN_180e003c8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00488,850,FUN_180e00488,,,58d2e2693e6b6646715ddef6307078d189812cdc03ad5803ce17e7b1617a36cc,undefined FUN_180e00488(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe0054c,5,FUN_180e0054c,,,70bf2d6deedcf734920e571ef09558025e359e9a739e5789ffaf6c9299398808,undefined FUN_180e0054c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00558,264,FUN_180e00558,,,a480ef8df853f9fe63b5f4b3d3aaada9654b077513334ff2917a1c8699f2bf05,undefined FUN_180e00558(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00660,155,FUN_180e00660,,,54e45a02312502cbd6929b660437d159936c2291bbb5f31cb9fbd82f9ce836a4,undefined FUN_180e00660(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe006fc,475,FUN_180e006fc,,,2de4bf43335211218437bab67fcb0334d5b0a432c909e2f6cffce3c0d52a98b6,undefined FUN_180e006fc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00814,155,FUN_180e00814,,,1300eed190e0591371e6858fc05c0f78ceb5757277ef1f398e64559da01439a3,undefined FUN_180e00814(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe008b0,121,FUN_180e008b0,,,0c4196396b25329f402d79e6dc94a047169f6134215f751acd64ce81b66b8227,undefined FUN_180e008b0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00900,949,FUN_180e00900,,,a950226a372cb7cba7a82c1976e893ba973562ff5fa9e00da0f4a8bc4216bdee,undefined FUN_180e00900(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00cb8,23,FUN_180e00cb8,,,41051179d5a48d0d5c7c17a87318009b5ae1ff06028bc2d61cc2f8ad6fd186c8,undefined FUN_180e00cb8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00cd0,30,FUN_180e00cd0,,,4bfc8cf9fdcb28974aebd4f05b119a6fac37cfaa0548fc321d1234f8c98874d7,undefined FUN_180e00cd0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00cf0,155,FUN_180e00cf0,,,0fd9c6124c0bb413f3aeac824fcfb88baa2ed847be7a6ca1ee5e5d9f643ba71e,undefined FUN_180e00cf0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00d8c,23,FUN_180e00d8c,,,720a0a138dccc7c5917d01f723a155ba61b52ee77cb073a12e07c44058aee808,undefined FUN_180e00d8c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00da4,23,FUN_180e00da4,,,5a253613ae2c8c15dc10fa4cd8a1ac5c117dd9cd21cd905320c7ac6dc8f2b3c9,undefined FUN_180e00da4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00dbc,155,FUN_180e00dbc,,,0ce8619aaf02fab25c00c533a3b56a385b58a335c1a257d16bf7d1de52c32797,undefined FUN_180e00dbc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00e58,155,FUN_180e00e58,,,291d2a38b8b74ff31d55e92493755b2d39b33926863fa7c612b263468776b1f9,undefined FUN_180e00e58(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe00ef4,301,FUN_180e00ef4,,,6e31156a8ba42ff51c779a2123b7e5ea7755e0e93facccd452b4ada8be5b7f8a,undefined FUN_180e00ef4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe01024,291,FUN_180e01024,,,1c59007370c203befb3dc9100bf0a7d5ed4537a3af2886ab92941b64787fe3e8,undefined FUN_180e01024(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe01148,291,FUN_180e01148,,,d1ee3eb4e35fdc184b560979adb116328e0da14b1829e7383b1ad1c48c4e4e3b,undefined FUN_180e01148(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe0126c,298,FUN_180e0126c,,,5e9985d09227b9e2df449d0b0997c8e81d8870fb5e1add7294b0edad9b8ae62a,undefined FUN_180e0126c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xe01398,26,FUN_180e01398,,,819234953c91d716a341edb10dcca2267107efa13f78881bbca64f4a7a11eeca,undefined FUN_180e01398(),ghidra,clean,
