module,game_version,rva,length,auto_name,function_name,namespace,content_hash,signature,signature_source,decompile_quality,edge_reason
WHGame.dll,release_1_5_1164953_841,0xf000dc,155,FUN_180f000dc,,,c2176c784a99cd201e733bfd3ff5efe2bb8113ed8c494889299bf0bdf87551eb,undefined FUN_180f000dc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00178,298,FUN_180f00178,,,b6ade69245c4c9be06f7f4f959009e8e5bbb2e9607b30a71afa0334941a43ea7,undefined FUN_180f00178(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf002a4,26,FUN_180f002a4,,,784f42d42467bdc72bf303619520ab86d009b3466c28ed890d4202f919d16798,undefined FUN_180f002a4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf002c0,958,FUN_180f002c0,,,f82ce60707b2c90b798699047bee354f47463f737574a372fa20b4f31d2e7f1c,undefined FUN_180f002c0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00680,23,FUN_180f00680,,,4a2215c3e820937481093c41c3a2c4fdd1b034767afb06c5e8afd475b2e2dc6a,undefined FUN_180f00680(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00698,155,FUN_180f00698,,,a39f82bc3aede87e69b9ce9722dfda445903353c483550d2771995ce15adb9b6,undefined FUN_180f00698(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00734,304,FUN_180f00734,,,8fa70621fe72f418dc172b7295ae7d983127e8fdd0fa7a066df11945e3b0d9e5,undefined FUN_180f00734(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00864,155,FUN_180f00864,,,45397fd94daabc94a715c26420f8e7bfb9dd13e470c3c736b3a98e4b72d10274,undefined FUN_180f00864(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00900,298,FUN_180f00900,,,3556a34099b1151ef5afbb65aaceb14c54442fe6703332368b79df10a463d4d2,undefined FUN_180f00900(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00a2c,26,FUN_180f00a2c,,,a6dcd7311892e5ce1f4ce2b840ea8bbd0db63d5de74a93f03f8aa0488b040147,undefined FUN_180f00a2c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00a48,199,FUN_180f00a48,,,c33a810293ddc493e659168b41005ce3437d3087f2197870c91c48a11f2e83ef,undefined FUN_180f00a48(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00af0,26,FUN_180f00af0,,,c4803b8b4ae2089eecb9b21c3fe70f855fe97585bd8abc4b265f5467ea4aec36,undefined FUN_180f00af0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00b0c,26,FUN_180f00b0c,,,38d93e5ffd9be593c5adbd9cbb89db7df250a6643fb8748c0abd84e73f7f72f2,undefined FUN_180f00b0c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00b28,26,FUN_180f00b28,,,11fc72d44514d79afe619dd229e46eaf007f7c01f3b283a825281e468f14e675,undefined FUN_180f00b28(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00b44,26,FUN_180f00b44,,,3ee6bb5f6cef7aae8e9a662da4961e77d5350f3874a3e0e3d66af59bc9cdbe1d,undefined FUN_180f00b44(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00b60,26,FUN_180f00b60,,,58e3cda009b1691936a660680af726c169d6ce38b8cf81efcce219c361451552,undefined FUN_180f00b60(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00b7c,26,FUN_180f00b7c,,,860a9ad9754ef3bd49b3a881500175deb5ec05f4be0516dbc9ef27c3c91cbef3,undefined FUN_180f00b7c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00b98,26,FUN_180f00b98,,,5d638bb79269238b1c5a734048da04ed72dfc4702b93bb81f07d9dc5a22bc3bc,undefined FUN_180f00b98(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00bb4,850,FUN_180f00bb4,,,dbea77264c022862b8a64d6a41955ba624d9e33e00b1aad17e858fab8618cd5f,undefined FUN_180f00bb4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00c78,5,FUN_180f00c78,,,70bf2d6deedcf734920e571ef09558025e359e9a739e5789ffaf6c9299398808,undefined FUN_180f00c78(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00c84,264,FUN_180f00c84,,,8b6a5b3e1b96fae9523fc8e13629323eb0a16fdc25e9041c21afb01f798c9cd1,undefined FUN_180f00c84(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00d8c,57,FUN_180f00d8c,,,c6926239676ca8709a634082531406e2a87767cca613e97f879db456bd82df15,undefined FUN_180f00d8c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00dc8,26,FUN_180f00dc8,,,9c65022afd0ec4039c708efc90fa051f370cb9b033449dc79b418ab34d9ff165,undefined FUN_180f00dc8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00de4,121,FUN_180f00de4,,,b7197a8fd5b35fc67ae5e2c0ecfc57ef44dec51858fd830ac9dc3bf97a36f094,undefined FUN_180f00de4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00e34,475,FUN_180f00e34,,,20b2ee9c9d37d1058226bf17b21ceb7ad14f43d7bf57a11881b90cda2e2ea540,undefined FUN_180f00e34(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00f4c,155,FUN_180f00f4c,,,4a5c12509b990b1814de12b71103e5a9c177b3fa119784010877ce0da258015a,undefined FUN_180f00f4c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf00fe8,1131,FUN_180f00fe8,,,32df4ad27d5041993e8c8e618e60133595b8a1f713b2d0f762571657aaebd370,undefined FUN_180f00fe8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf01454,155,FUN_180f01454,,,abdc81e86485dd9a01509ad7ceef8ea8281d2f4c9fb87fb3753befa52d7e9915,undefined FUN_180f01454(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf014f0,155,FUN_180f014f0,,,e7fd1c18042d51fb1ee906d35d12abe03dc30af2f6c1ce524818a2bce4e7eed7,undefined FUN_180f014f0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf0158c,155,FUN_180f0158c,,,cc86617d4e85f5f64297b2f94006114bf87c922191fd5217d4a37484ccd3f561,undefined FUN_180f0158c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf01628,155,FUN_180f01628,,,9eca0f88d5394e58494482edc72ede4e343ebf11ef02421a07edca20495e65e8,undefined FUN_180f01628(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf016c4,190,FUN_180f016c4,,,02f918546234e9fd1091e4fbb824a0708e074c913c9c82e03d7cd0284480e58a,undefined FUN_180f016c4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf01784,190,FUN_180f01784,,,8dc2a8f17a4b15265651d5ef568308f560fda639953a5b16e0e25ac0ef7081fc,undefined FUN_180f01784(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf01844,298,FUN_180f01844,,,3229b6a5ddea8dfd3188f37a6f7ef1d39c6e06b65f3b6aed1f38f2ded136b9ed,undefined FUN_180f01844(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf01970,304,FUN_180f01970,,,bcb617768958fa0d5b9a7bf361a43beebf1cd306420f2b2d778999aae70244ac,undefined FUN_180f01970(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf01aa0,190,FUN_180f01aa0,,,ba8eead0f35bf278511b76b1f8e1e4625968fa38fe8f77d073842dcf3b3416d1,undefined FUN_180f01aa0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf01b60,194,FUN_180f01b60,,,2d9673db858b94d7d76834031a05297c34d2f853e7ef910e97a254919bee046d,undefined FUN_180f01b60(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf01c24,155,FUN_180f01c24,,,6d11369422300837ff6f181c7db4c13a6fde05b5efcb3aa1598ba996feb59abb,undefined FUN_180f01c24(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf01cc0,298,FUN_180f01cc0,,,81cddd1408b7809d2bd062483e063b39fe0d35d097ead677d180bfb5f82ecd3f,undefined FUN_180f01cc0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf01dec,301,FUN_180f01dec,,,b6bf2f04b31c0cc217b47fd7b989cb287fe13076cb52dddaf5d745eba8b3b2bf,undefined FUN_180f01dec(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf01f1c,291,FUN_180f01f1c,,,a7bdb8e9015d3be3a3d8b280afd24c1b74352d29a9fb9fd9fdee74cd19147d85,undefined FUN_180f01f1c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf02040,291,FUN_180f02040,,,93f91d93e1fc5c5a560ab09fad21bc965d322d0a7a933ed846472d83ea3e14c5,undefined FUN_180f02040(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf02164,366,FUN_180f02164,,,16b5b10fcbaf4163a41e52a900620f460318238947aba8c0585a8a692a06df8b,undefined FUN_180f02164(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf022d4,97,FUN_180f022d4,,,0a9b28de1e9fd009cba47ac4eef9ac21d161829a5fbdc2d1386e5e5eb64707a3,undefined FUN_180f022d4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf02338,775,FUN_180f02338,,,f4a46c7066902ea60708a203dc0178fe255cd1f530ee1e63d8e5b967642e9f35,undefined FUN_180f02338(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf023e0,139,FUN_180f023e0,,,fb95a67ec86de54c07ccffff70e636f4b3910b920d11b6e4aa2d422f07b4201a,undefined FUN_180f023e0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf0246c,108,FUN_180f0246c,,,32e282db4b0ec7a4de3152ce7866902901bf19ff8a3c0c7ee361e96a6c7a7eba,undefined FUN_180f0246c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf024d8,161,FUN_180f024d8,,,da53964dc55ddec9d07afcd91cfbbed12a9931d0f8c620c97873997f1cf3255d,undefined FUN_180f024d8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf0257c,103,FUN_180f0257c,,,39ba61bac28d622bf7026f178e4fd1e36e4084232d81ba7f405d960d72d74a26,undefined FUN_180f0257c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf025e4,103,FUN_180f025e4,,,24fb0e4ddbabd32bac46dcfa36b12a876861e004d1135af9447bf018a229fe3d,undefined FUN_180f025e4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf0264c,33,FUN_180f0264c,,,15d82dc49ee96dad5340f339783dd5c6c792f3f30341b86603b6b65bb81df50f,undefined FUN_180f0264c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf02670,33,FUN_180f02670,,,36c8818f72d663fda42eef4e650a80acb1d54e8861665b9b766d770047aeebd9,undefined FUN_180f02670(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf02694,314,FUN_180f02694,,,cd1a34b19d8fe33003e3690f4317770926cc138c48c6ac4f072d54b8b2c289c0,undefined FUN_180f02694(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf02760,22,FUN_180f02760,,,ef5c1cecaf002bbb31308d25c3ee1ddc730cbb6e8d021ebae1b0695da81396cd,undefined FUN_180f02760(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf02778,115,FUN_180f02778,,,fd13d3cbd2754c856fa2f20dd61138324f9d8f48c24848379d4ccf4b867cfc93,undefined FUN_180f02778(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf027ec,173,FUN_180f027ec,,,deade3a24f1b64a49a2beb053334051445169cd559eb20c7ba71de0ab46fb426,undefined FUN_180f027ec(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf0288c,163,FUN_180f0288c,,,36f4be57bb0abb207d9ff77428a437dd7d416377af6d2a74f1f2cb0198d3900f,undefined FUN_180f0288c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf02924,53,FUN_180f02924,,,fbbdd8840fa35d4beb3c526dcd13a2dac18455e4721a9bb693b63d13e854693f,undefined FUN_180f02924(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf0295c,3698,FUN_180f0295c,,,d7f83643516f758e09c398be872c3693f78263c90e3e1f502dc25191d85c5f8b,undefined FUN_180f0295c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf0379c,114,FUN_180f0379c,,,e3945b4905c4d8bf60414265d2cba5f07a04cb0f257a9af61c180bf77824b0f4,undefined FUN_180f0379c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf037e0,90,FUN_180f037e0,,,85b674f87799fd29846d50cdad7f1727f931bf390db92b63234ab0f91df9741c,undefined FUN_180f037e0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf0382c,107,FUN_180f0382c,,,d3e7350327c293c990a3c359d7925c54cf8089464f78a9aa1adb63e197018cd6,undefined FUN_180f0382c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf03898,6319,FUN_180f03898,,,bc14f9d2fbb50e24c6648546a6ef98c57964ba2be82cad3e42ea8d18625c288a,undefined FUN_180f03898(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf04888,15049,FUN_180f04888,,,da94a2ce03f1397c7eed7f34db7678bd1d51a448c667dd68d3c5f31dfcb35810,undefined FUN_180f04888(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf08354,82,FUN_180f08354,,,5d52199e1dbf4477d3585c70471aa3971ea301fd4fb919f5d06c8cdab77a169b,undefined FUN_180f08354(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf083a8,128,FUN_180f083a8,,,e89ecbe2539fbdcd1b7462026114c00b238f98dd2aa4452d4e148f7b0dfcffcd,undefined FUN_180f083a8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf083d4,276,FUN_180f083d4,,,52056f162d0ef20d536a16c408948f350e9ceaea16e67379ff08ad7894f650ae,undefined FUN_180f083d4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf08444,234,FUN_180f08444,,,00ad438d2334d6cc3e90c34dce1a66788625489ebcc70272f38f67d7dc2434c3,undefined FUN_180f08444(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf08530,207,FUN_180f08530,,,66c581c3d73446b47eb89edb30a476874626407c0b8048359d1c582e1e671a43,undefined FUN_180f08530(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf085f0,261,FUN_180f085f0,,,7b5a6b617108d923dfa96f0f10c9c789d54efa00258d2ae34a2403386e73d03c,undefined FUN_180f085f0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf086ec,155,FUN_180f086ec,,,8c484103eb5e0d30f2e6700fef39c299e2ab91c97bb81dda1ea9fade41e6d94f,undefined FUN_180f086ec(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf08788,196,FUN_180f08788,,,9968d2f5b518e65431376544216f36097f2cd070adfea5d07348e8b254f8ea0d,undefined FUN_180f08788(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf0884c,26,FUN_180f0884c,,,6b605b16f92862b372ac783a3c87f0ae054f923b359f5f4b4bfc0614866cc290,undefined FUN_180f0884c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf08868,83,FUN_180f08868,,,28a6900493c7be7347b7febc3b83bc0eef5baea4225b9f043c8eadadd87feb59,undefined FUN_180f08868(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf088bc,109,FUN_180f088bc,,,5d37f8a2fd29c77a84b8f7640015f73cb65c0628b5d9b1a9b2ca0a063d66b788,undefined FUN_180f088bc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf088f4,461,FUN_180f088f4,,,be94d955691bbf434a7a9a1ab4f7e7258d6b7dc847da15726a06203871e45f45,undefined FUN_180f088f4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf089e4,155,FUN_180f089e4,,,5cdc8a82b9a4e485e5cc70a815c921750184e004b9f88ec51590a0176a644043,undefined FUN_180f089e4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf08a80,291,FUN_180f08a80,,,8db2ca7590c5718a3835f36faf210e391fdda1b8133f949b3221b64438fa34b2,undefined FUN_180f08a80(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf08ba4,91,FUN_180f08ba4,,,e2686dafcb347d6bd39ff5f30fbd7677ba110aa33e62ff463e6c44fdb335c2f5,undefined FUN_180f08ba4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf08c00,291,FUN_180f08c00,,,f718262c8428f6f6e8334dc336c0e55cc26a63272f77abee36c24919824a8ac0,undefined FUN_180f08c00(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf08d24,266,FUN_180f08d24,,,0368276518a6bae463b3a0367b25f63d3eb6e23ffa889ba596f8b8afad563449,undefined FUN_180f08d24(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf08e30,573,FUN_180f08e30,,,06f60ffba9e7b831ffb950b40423052b7a9fff030c91318241902704c762a10c,undefined FUN_180f08e30(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0xf09070,151,FUN_180f09070,,,4595bc3367bd58406edc0e0ab90ecced9b117eefd38191f9647f65932d60e93f,undefined FUN_180f09070(),ghidra,clean,
