module,game_version,rva,length,auto_name,function_name,namespace,content_hash,signature,signature_source,decompile_quality,edge_reason
WHGame.dll,release_1_5_1164953_841,0x1a00034,108,FUN_181a00034,,,c45d39ef15ea2af56288bc204ae5092f4c80fc134d55c32174c9d40478d9ab11,undefined FUN_181a00034(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a000a0,108,FUN_181a000a0,,,6275c88c204de56f23dc2512cf084ffbdb0f2bc953cb16717992e70134b5f209,undefined FUN_181a000a0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a0010c,108,FUN_181a0010c,,,3264bb700c0f5f92d7dde94f9e3596af9e44a95be23af448f5cb3301bba8f3e2,undefined FUN_181a0010c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00178,108,FUN_181a00178,,,da45d354d79c16985619688db8e2bb2196f26de080be60aa992cd4f91c55b856,undefined FUN_181a00178(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a001e4,108,FUN_181a001e4,,,c6a083c214d4b976abbc0a31a33575779bcdfdfc009d9c41276df99d71b516b4,undefined FUN_181a001e4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00250,108,FUN_181a00250,,,5ec22f42a52e4af89175dfb4d7f3cbf91f5112bffa76c7196e513ac617376593,undefined FUN_181a00250(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a002bc,108,FUN_181a002bc,,,655ea874e6815a1758c9cca013938893c1c0e84b4f97b07755eef09897eec86b,undefined FUN_181a002bc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00328,108,FUN_181a00328,,,268d8202eaebb5c32ea063b9b387d57671bf462b0d5d6fdff41eb3aa5a08634c,undefined FUN_181a00328(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00394,108,FUN_181a00394,,,1fb299b96f14133d529a2a45e7d1cc848eef4b5864121c894cf5e46113441b4a,undefined FUN_181a00394(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00400,108,FUN_181a00400,,,877a7fbc672b3a5386f8622a3215f7fe4f3306a809300fdb7483cf3e7bc1c04e,undefined FUN_181a00400(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a0046c,108,FUN_181a0046c,,,201478fdccdebff69b2b3d4576a80befc152128f599fb8262bfe9848bd21caf3,undefined FUN_181a0046c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a004d8,108,FUN_181a004d8,,,6a86555bc071ff493fb85813d221ce563e167e45eb3c350ea682e16e62925c9b,undefined FUN_181a004d8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00544,108,FUN_181a00544,,,3de7fb5e5b8c59affa5bb34e9608747ecab8a0b5f56b439bdf18288d0502a880,undefined FUN_181a00544(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a005b0,108,FUN_181a005b0,,,f792703f87e1144aaa14637d5dab2a5292a30f8f7b3d05ecb5ea54f7332e2a2d,undefined FUN_181a005b0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a0061c,108,FUN_181a0061c,,,0bf5969f22c20f5c57064ea75f312ff496e0e1f1ef10823beaeeb76d4abf8805,undefined FUN_181a0061c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00688,108,FUN_181a00688,,,e6b9d7ccf2a50e1d5421b84066c6998ed3ecd3eb54f2319a531aab702ab2bdef,undefined FUN_181a00688(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a006f4,108,FUN_181a006f4,,,6cf4ef5675207460dc18568a4d460c38e34a5af06785c7dc9160bf3ddcf8a085,undefined FUN_181a006f4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00760,108,FUN_181a00760,,,e4100b90fab513fb4dfd9d88577890c84a74426d8399bb01189b10374661c927,undefined FUN_181a00760(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a007cc,108,FUN_181a007cc,,,067ce94db2ef20960bbbbb393c046d64988b2ef4e9b0a12c1d6109ab9155078c,undefined FUN_181a007cc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00838,108,FUN_181a00838,,,02607601ca4b14dbd2a80c1fa4d11af4459818a9caef3585414a7e3a12eb2668,undefined FUN_181a00838(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a008a4,108,FUN_181a008a4,,,979c93b8c21a9e5ead0a37df845cf81a9c3389148fd96e9ec614a088441c69df,undefined FUN_181a008a4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00910,108,FUN_181a00910,,,7c268d7475c237cca204f35c2c95997b6b6e85474541899359cb1f9afc5e80dc,undefined FUN_181a00910(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a0097c,108,FUN_181a0097c,,,ae506a5985121bcb9b3566c5457cf612f2036bbc8e92c9ec0b2858d8476984c1,undefined FUN_181a0097c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a009e8,108,FUN_181a009e8,,,9c39b5f3716f5a9662b2e69675114f6b5526721c8cb3c5a4533c4769c3bdcecf,undefined FUN_181a009e8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00a54,108,FUN_181a00a54,,,b8b9c5bd6d7a140bdd41d8ac1384a2353ea43645ef5b2cc1659ec4b671eaef11,undefined FUN_181a00a54(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00ac0,108,FUN_181a00ac0,,,3882231159fd764989a9a88c8a23faa1ae2a17695f90a167adbf7bc559f83eee,undefined FUN_181a00ac0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00b2c,108,FUN_181a00b2c,,,e6d8373265fd8a11ef523561720ac396a3cc02b7afeb0ff2d336d0d86badecc0,undefined FUN_181a00b2c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00b98,108,FUN_181a00b98,,,c9a81b6daa39cbed33d35656c6253e8bc428927bb95da147ef0f9fbe148f542a,undefined FUN_181a00b98(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00c04,108,FUN_181a00c04,,,e8ad0cdd85297b51b4785e93e47f6f302b090eeb165ad0a19b167f2c5bfa1672,undefined FUN_181a00c04(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1a00c70,108,FUN_181a00c70,,,3b3b650fcb60092dad44e727be026728b37aacf404fa66fa325f7e4ce0a1af69,undefined FUN_181a00c70(),ghidra,clean,
