name,rva,provenance,n_callees_local,n_callees_whgame
index2adr,0x0071DD7C,callgraph,2,2
luaC_fullgc,0x0071FCE8,callgraph,3,1
luaC_step,0x0071FC38,callgraph,9,3
luaD_call,0x0071A7BC,callgraph,5,3
luaH_getn,0x00B9D7AC,callgraph,1,1
luaH_next,0x0071F4F8,callgraph,3,2
luaL_checknumber,0x01250AC4,callgraph,3,3
luaL_openlibs,0x01449600,callgraph,4,3
luaL_typerror,0x01C9CC40,callgraph,4,1
luaO_nilobject_,0x01D938BF,callgraph,0,2
luaO_pushvfstring,0x0399838C,callgraph,17,13
luaO_str2d,0x00CB2F94,callgraph,4,1
luaS_newlstr,0x023830C0,callgraph,8,2
luaV_gettable,0x0071D2F8,callgraph,6,13
luaV_tonumber,0x00CB3E24,callgraph,1,1
luaV_tostring,0x01612DC4,callgraph,3,3
lua_call,0x0144965C,callgraph,1,1
lua_gc,0x00A2D8B8,callgraph,2,2
lua_gettable,0x0071F6FC,callgraph,2,2
lua_isnumber,0x0041C230,callgraph,2,2
lua_lessthan,0x039930E8,callgraph,4,3
lua_newuserdata,0x00B9D0C0,callgraph,2,3
lua_next,0x0071F4BC,callgraph,2,2
lua_objlen,0x00B9D764,callgraph,3,3
lua_pcall,0x0071A5A4,anchor,3,2
lua_pushcclosure,0x00B9D11C,callgraph,2,4
lua_pushfstring,0x03993134,callgraph,2,2
lua_pushthread,0x03994158,callgraph,0,4
lua_pushvalue,0x0071F100,callgraph,1,1
lua_rawequal,0x03993178,callgraph,4,5
lua_rawseti,0x00B9C2A4,callgraph,3,2
lua_settable,0x0071E7C0,callgraph,2,36
lua_tonumber,0x0041C200,callgraph,2,4
lua_topointer,0x0071F1F8,callgraph,2,2
luaopen_debug,0x000F1DB0,callgraph,1,2
luaopen_io,0x00104140,callgraph,33,9
luaopen_os,0x000F1DB0,callgraph,1,2
luaopen_table,0x000F1DB0,callgraph,1,2
sprintf,0x0071DF0C,callgraph,0,0
strlen,0x0071DF0C,callgraph,0,0
tag_error,0x0233409E,callgraph,5,47
unbound_search,0x01612DC4,callgraph,1,3
