name,rva,n_matches,prologue_pattern
luaL_addlstring,,0,4D 85 C0 0F 84 ?? ?? ?? ?? 48 89 5C 24 18 48 89 74 24 20 41 56
luaL_addstring,0x003BFE8C|0x004189B0|0x004765D4|0x0047733C|0x004E8AC8|0x004ED1EC|0x0059D790|0x0062D224|0x0068A16C,9,48 89 5C 24 08 57 48 83 EC 20 48 8B F9 48 8B DA 48 8B CA E8 ?? ?? ?? ??
luaL_addvalue,,0,48 89 74 24 18 57 48 83 EC 20 48 8B 71 10 4C 8D 44 24 30 48 8B F9
luaL_argerror,0x025C6D24|0x025C6D98|0x0399355C,3,40 53 56 57 48 81 EC D0 00 00 00 48 8B 05 ?? ?? ?? ?? 48 33 C4
luaL_callmeta,,0,48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 20 8D 82 0F 27 00 00 49 8B F0
luaL_checkany,,0,48 89 5C 24 08 57 48 83 EC 20 8B DA 48 8B F9 E8 ?? ?? ?? ?? 83 F8 FF
luaL_checkinteger,0x009DA0D8|0x00B9C9BC|0x00C62300|0x00D637E0|0x0119FEC0|0x01D73530|0x023DE248|0x0248C444|0x0275D750,9,48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 20 8B FA 48 8B F1
luaL_checklstring,0x00C6A181|0x03995C75,2,48 89 6C 24 10 48 89 74 24 18 57 48 83 EC 20 8B EA 48 8B F1
luaL_checknumber,0x01250AC4,1,48 89 5C 24 08 57 48 83 EC 30 0F 29 74 24 20 8B DA 48 8B F9
luaL_checkoption,0x00C3888A|0x01CA83B5|0x023EB995|0x025CBC31|0x025CBD09|0x02CE619A|0x02CE6246|0x02CE8565|0x02CE863D,9,48 89 6C 24 10 48 89 74 24 18 57 41 56 41 57 48 83 EC 20 4D 8B F1
luaL_checkstack,0x00B9CC20|0x00E0D39C,2,48 89 5C 24 08 57 48 83 EC 20 49 8B F8 48 8B D9 E8 ?? ?? ?? ?? 85 C0
luaL_checktype,0x00F9E11C|0x025BCEEC|0x03818F0C|0x0381A874,4,48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 20 41 8B D8 8B FA 48 8B F1
luaL_checkudata,0x003C8B74|0x00459794|0x0051B8E0|0x005B8300|0x00A30FC8|0x00A339FC|0x00A33EA8|0x00ADE4DC|0x00ADEF5C,9,48 89 5C 24 08 48 89 6C 24 10 48 89 74 24 18 57 48 83 EC 20 49 8B E8
luaL_error,,0,4C 8B DC 49 89 53 10 4D 89 43 18 4D 89 4B 20 53 57 48 81 EC B8 00 00 00
luaL_findtable,0x00393794|0x003A0F90|0x003A4038|0x003A54BC|0x003A61A0|0x003AD304|0x003B0404|0x003B19B8|0x003C4F5C,9,48 89 5C 24 08 48 89 6C 24 10 48 89 74 24 18 57 41 56 41 57 48 83 EC 20
luaL_getmetafield,0x00B9CC20|0x00E0D39C,2,48 89 5C 24 08 57 48 83 EC 20 49 8B F8 48 8B D9 E8 ?? ?? ?? ?? 85 C0
luaL_gsub,0x002420B0|0x0034C740|0x00373AD0,3,4C 8B DC 55 49 8D AB 58 FE FF FF 48 81 EC A0 02 00 00
luaL_loadbuffer,,0,48 83 EC 38 48 89 54 24 20 48 8D 15 ?? ?? ?? ?? 4C 89 44 24 28
luaL_loadfile,,0,40 55 56 57 48 81 EC 40 02 00 00 48 8B 05 ?? ?? ?? ?? 48 33 C4
luaL_loadstring,,0,48 89 5C 24 08 57 48 83 EC 30 48 8B F9 48 89 54 24 20 48 8B CA 48 8B DA
