kcdx_id,valid_from_version,module,rva,signature,last_verified_at_version,verified_by,verified_date,evidence_kind,survival_aob,survival_anchor_string,survival_derives_from,survival_rule,survival_slot_count
1,1.5.1164953,WHGame.dll,0x0071A5A4,"i32 (ptr L, i32 nargs, i32 nresults, i32 errfunc)",1.5.1164953,VioletAnvil,2026-05-28,live_production,,,,,
2,1.5.1164953,WHGame.dll,0x00667B24,"void (ptr self, bool haveFocus, u32 updateFlags)",1.5.1164953,VioletAnvil,2026-05-28,live_production,,,,,
3,1.5.1164953,WHGame.dll,0x03993898,"i32 (ptr L, cstr filename)",1.5.1164953,VioletAnvil,2026-05-28,predecessor_sig,,,,,
4,1.5.1164953,WHGame.dll,0x00865FB4,void (ptr self),1.5.1164953,VioletAnvil,2026-05-28,live_production,,,,,
5,1.5.1164953,WHGame.dll,0x0056174C,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
6,1.5.1164953,WHGame.dll,0x00561745,,1.5.1164953,VioletAnvil,2026-05-28,pattern_scan,,,,,
7,1.5.1164953,WHGame.dll,0x005605BC,,1.5.1164953,VioletAnvil,2026-05-28,live_test_plugin,,,,,
8,1.5.1164953,WHGame.dll,0x00566040,,1.5.1164953,VioletAnvil,2026-05-28,live_test_plugin,,,,,
9,1.5.1164953,WHGame.dll,0x0086AD99,,1.5.1164953,VioletAnvil,2026-05-28,predecessor_sig,,,,,
10,1.5.1164953,WHGame.dll,0x0492B8A8,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
11,1.5.1164953,WHGame.dll,0x0492B800,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
12,1.5.1164953,WHGame.dll,0x04095E58,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
13,1.5.1164953,WHGame.dll,0x00B9A2B0,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
14,1.5.1164953,WHGame.dll,0x0100955C,"bool (ptr self, cstr sName)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
15,1.5.1164953,WHGame.dll,0x007A5818,"void (ptr self, cstr command, bool bSilentMode, bool bDeferExecution)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
16,1.5.1164953,WHGame.dll,0x009DF818,"ptr (ptr self, cstr name)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
17,1.5.1164953,WHGame.dll,0x00B99098,"void (cstr name, ptr func, i32 nFlags, cstr sHelp)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
18,1.5.1164953,WHGame.dll,0x0100A3D4,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
19,1.5.1164953,WHGame.dll,,,,,,,,,,,
20,1.5.1164953,WHGame.dll,,,,,,,,,,,
21,1.5.1164953,WHGame.dll,,,,,,,,,,,
22,1.5.1164953,WHGame.dll,,,,,,,,,,,
23,1.5.1164953,WHGame.dll,,,,,,,,,,,
24,1.5.1164953,WHGame.dll,,,,,,,,,,,
25,1.5.1164953,WHGame.dll,0x0071A0D8,"void (ptr L, i32 narg, i32 t)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
26,1.5.1164953,WHGame.dll,0x0071A49C,"void (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
27,1.5.1164953,WHGame.dll,0x0071A4E4,"void (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
28,1.5.1164953,WHGame.dll,0x0071CA90,"i32 (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
29,1.5.1164953,WHGame.dll,0x0071D06C,"void (ptr L, i32 idx, i32 n)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
30,1.5.1164953,WHGame.dll,0x0071E46C,"void (ptr L, cstr s, u64 len)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
31,1.5.1164953,WHGame.dll,0x0071E4D4,"i32 (ptr L, i32 objindex)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
32,1.5.1164953,WHGame.dll,0x0071E77C,"void (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
33,1.5.1164953,WHGame.dll,0x0071ECEC,"ptr (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
